"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"251836953232818176","251836348737134593","18520806","","","2012-09-29 00:13:03 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@brdrck haha im just messing around.

turns on/off cloud storage for phone calls or contacts"
"251835763430395904","251835258222305280","18520806","","","2012-09-29 00:08:19 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@brdrck brings down the hammer?

armageddon?

rain phone?

I dont get this game."
"251832950663032832","","","251773410030526464","19045458","2012-09-28 23:57:08 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @espiekermann: @nounproject has updated its amazing collection of icons: http://t.co/c9cIxLky","http://thenounproject.com"
"251831420207652864","","","","","2012-09-28 23:51:04 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Mozilla 'Presona' - No more individual logins / http://t.co/8oRiLVTW","http://bit.ly/Psn2cp"
"251829489724710912","","","","","2012-09-28 23:43:23 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Dropbox has been acting up lately. So I?m going to go install the beta.


That's how this works, right?"
"251828930976288768","251828822687764480","6429502","","","2012-09-28 23:41:10 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@littlelazer I AM BEHOLDING THE CRAP OUT OF THIS PAGE."
"251828650662580224","251828496555442176","6429502","","","2012-09-28 23:40:03 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@littlelazer you know styles make the things look pretty right?


YOU?RE RUINING EVERYTHING."
"251828152144379905","","","251826352553091072","6429502","2012-09-28 23:38:04 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @littlelazer: Current status: http://t.co/yny30yLM","http://25.media.tumblr.com/tumblr_mal11oPTmK1r3icbmo1_500.jpg"
"251824214875705344","","","","","2012-09-28 23:22:26 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","What if you could only take on more photo? One to share with the world forever. What would you capture? / http://t.co/NKFYBTi9","http://bit.ly/PxuEdI"
"251818732207357954","","","","","2012-09-28 23:00:38 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","twins. #vsco   @ Obama for America Campaign HQ http://t.co/ja2sr53G","http://instagr.am/p/QIvt4TJMOX/"
"251812989802532864","251812945753948162","15648633","","","2012-09-28 22:37:49 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@yahelc @samarthbhaskar victory!"
"251812444010315776","","","","","2012-09-28 22:35:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Saying i p h o n e f i v e was a really dumb idea."
"251812151713468417","","","","","2012-09-28 22:34:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Yay, @trello &amp; @simplenoteapp were updated for iPhone 5."
