"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"208406825450741760","","","","","2012-06-01 03:57:13 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Whoa.

http://t.co/90QxRtPX","http://share.manikrathee.com/2O370U16262c1B043W1r"
"208337076352057344","208336778917191680","15754851","","","2012-05-31 23:20:04 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@SaraLang aliens. aliens are the reason.a"
"208301067820204033","","","","","2012-05-31 20:56:59 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Love #vscocam &amp; #vscofilm because of images like this: https://t.co/2RICLFPt

From: @visualsupplyco May selects","https://s3.amazonaws.com/vscosites/1/4f7b4abb65a241/4fc53a45953cc/component-933/VSCOFilm_SpencerCombs.jpeg"
"208298819069296641","","","","","2012-05-31 20:48:03 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Buying @timescapes special edition today so I can watch it tonight.

And every other night after that."
"208230890764111873","","","","","2012-05-31 16:18:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","The front page of the Boston Globe's website looks like this right now: http://t.co/k8ppflV4","http://boston.com"
"208223993570926593","208222093907722241","18638800","","","2012-05-31 15:50:43 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jessicahische @jessicawalsh 

I just read that as ""The talented @jessicahische ?""

man, so cocky."
"208220771066191874","","","208182715177107456","595272070","2012-05-31 15:37:55 +0000","web","RT @helvetcia: Internet, may we introduce you to your new tee: http://t.co/YfHXqezS","http://drbl.in/ehWv"
"208219698834325504","","","208205164430106624","47462001","2012-05-31 15:33:39 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @teddygoff: ""If people want to know what I stand for, they can look at my record as governor"" may go down as Romney's worst gaffe htt ..."
"208198709039734785","","","","","2012-05-31 14:10:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","A look at how Mitt Romney failed to create jobs and protect the middle class in Massachusetts: http://t.co/LIryistQ (via @BarackObama)","http://share.manikrathee.com/313t0h2I1h3H0z252F12"
"208197894950486016","","","208163371751706626","114547989","2012-05-31 14:07:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @stefcutter: Romney touted his experience as a corporate buyout specialist before in Massachusetts. Here's how that turned out: http: ..."
"208022886223585280","","","208014303696138242","12196","2012-05-31 02:31:35 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @wilsonminer: @kissane There's a fine line between reducing the clutter and making something harder that users want to do, and is mut ..."
"207981117511438336","","","","","2012-05-30 23:45:37 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","This is the best thing ever.

http://t.co/OiAkbZlq!","http://www.youtube.com/watch?feature=player_embedded&v=o6Alt2DssYc#"
"207950222465310722","","","207943979881345024","114547989","2012-05-30 21:42:51 +0000","web","RT @stefcutter: Memo from OFA Senior Strategist @davidaxelrod: ?Romney Economics: It Didn?t Work Then and It Won?t Work Now.? http://t.c ..."
"207868178347470849","","","","","2012-05-30 16:16:50 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","morning. 

http://t.co/ZkeE2cQb","http://instagr.am/p/LQdNvopMDC/"
"207843236755152898","","","207830830599503872","6622662","2012-05-30 14:37:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @jsmecham: OH: &lt;&lt;Windows XP Startup Sound&gt;&gt; #backboneconf"
"207841879520313345","","","207817947740241920","195863654","2012-05-30 14:32:20 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @marihuertas: Related: Iteration + innovation are necessary but also must be properly purposeful. Don't discard/bury a healthy system ..."
"207841818098925568","","","207817264504913921","355542364","2012-05-30 14:32:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @SmashingUXD: New Post: Design Process In The Responsive Age | http://t.co/OObwxomV #UX #Design","http://bit.ly/KW3zMd"
"207658507208638464","","","207649499781414913","19194353","2012-05-30 02:23:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @esreif: RT @nycsouthpaw: Rmoney for Amercia"
